name,%,condition_state,p90,p95,p99
BCI,25%,1,1.783647537231445,2.004016876220703,2.5792713165283203
BCI,25%,2,6.4569091796875,9.12005615234375,14.384078979492188
BCI,25%,3,17.374465942382812,18.549415588378903,21.23892974853516
BCI,50%,1,1.353795051574707,1.4939279556274414,1.8090848922729488
BCI,50%,2,3.3405838012695312,3.898391723632813,5.505546569824219
BCI,50%,3,15.941665649414062,16.631996154785156,18.102516174316406
BCI,75%,1,1.1671953201293943,1.2530498504638672,1.3879003524780271
BCI,75%,2,2.1583709716796875,2.444908142089844,3.014320373535156
BCI,75%,3,14.675373077392578,15.086624145507812,15.9091796875
deck,25%,1,0.7741508483886719,0.9248199462890624,1.2032814025878906
deck,25%,2,0.8032822608947754,0.9421672821044922,1.1347265243530271
deck,25%,3,1.1126766204833984,1.435894012451172,1.876689910888672
deck,50%,1,0.6420478820800781,0.7193374633789062,0.8816871643066406
deck,50%,2,0.5970849990844727,0.70391845703125,0.8687067031860352
deck,50%,3,0.7319459915161133,0.8968915939331055,1.156102180480957
deck,75%,1,0.5632171630859375,0.6414642333984375,0.7468719482421875
deck,75%,2,0.5231132507324219,0.5938386917114258,0.7348766326904297
deck,75%,3,0.5627374649047852,0.6800870895385742,0.8737802505493164
pavement,25%,1,1.8510799407958984,1.9144458770751955,2.02117919921875
pavement,25%,2,1.5782699584960938,1.7023868560791016,1.853132247924805
pavement,25%,3,4.755590438842773,5.480428695678711,7.511375427246094
pavement,50%,1,1.788593292236328,1.8243064880371092,1.8805084228515625
pavement,50%,2,1.4256038665771484,1.4684467315673828,1.5478019714355469
pavement,50%,3,3.9539642333984375,4.220871925354004,4.929347991943359
pavement,75%,1,1.738372802734375,1.764080047607422,1.8060436248779297
pavement,75%,2,1.33447265625,1.3580360412597656,1.4186515808105469
pavement,75%,3,3.48984432220459,3.656248092651367,3.935502052307129
swerepipe,25%,1,0.2632617950439453,0.2992935180664062,0.3543949127197265
swerepipe,25%,2,0.4178314208984375,0.441680908203125,0.4829654693603515
swerepipe,25%,3,4.211612701416016,4.46649169921875,4.913246154785156
swerepipe,50%,1,0.221872329711914,0.247110366821289,0.2770557403564453
swerepipe,50%,2,0.3863086700439453,0.4029960632324219,0.4261531829833984
swerepipe,50%,3,3.897563934326172,4.010917663574219,4.2101593017578125
swerepipe,75%,1,0.1962718963623047,0.2078208923339843,0.2199783325195312
swerepipe,75%,2,0.3682003021240234,0.376596450805664,0.3932723999023437
swerepipe,75%,3,3.770431518554688,3.8320465087890634,3.946674346923828
